Timestamp,FewShot_Count,Original_Individual,Original_Macro_F1,Shuffled_Individual,Shuffled_Macro_F1
2026-03-09 20:31:20,2,"[311, 1524]",0.213088658455276,"[1524, 311]",0.2326313891531283
2026-03-09 20:31:16,3,"[265, 483, 2050]",0.2745117743610357,"[265, 2050, 483]",0.2740533867617396
2026-03-09 20:34:35,3,"[265, 483, 2050]",0.2745117743610357,"[2050, 483, 265]",0.2718236305530311
2026-03-09 20:37:46,3,"[265, 483, 2050]",0.2745117743610357,"[2050, 265, 483]",0.27249475890985325
2026-03-09 20:40:51,3,"[265, 483, 2050]",0.2745117743610357,"[483, 2050, 265]",0.2879229211485094
2026-03-09 20:43:55,3,"[265, 483, 2050]",0.2745117743610357,"[483, 265, 2050]",0.28789141221508646
2026-03-09 20:31:18,4,"[543, 1667, 2100, 2876]",0.3174758409341736,"[2100, 2876, 1667, 543]",0.4001746675681767
2026-03-09 20:34:44,4,"[543, 1667, 2100, 2876]",0.3174758409341736,"[2876, 543, 2100, 1667]",0.42766736214022355
2026-03-09 20:37:52,4,"[543, 1667, 2100, 2876]",0.3174758409341736,"[1667, 2100, 2876, 543]",0.4007290495251426
2026-03-09 20:41:00,4,"[543, 1667, 2100, 2876]",0.3174758409341736,"[1667, 543, 2876, 2100]",0.3161468028976829
2026-03-09 20:44:01,4,"[543, 1667, 2100, 2876]",0.3174758409341736,"[2100, 1667, 2876, 543]",0.40164640624087417
2026-03-09 20:47:09,4,"[543, 1667, 2100, 2876]",0.3174758409341736,"[2876, 1667, 543, 2100]",0.43206749837050507
2026-03-09 20:50:04,4,"[543, 1667, 2100, 2876]",0.3174758409341736,"[2100, 1667, 543, 2876]",0.38913416646626137
2026-03-09 20:53:02,4,"[543, 1667, 2100, 2876]",0.3174758409341736,"[543, 1667, 2876, 2100]",0.36124135612965785
2026-03-09 20:55:58,4,"[543, 1667, 2100, 2876]",0.3174758409341736,"[1667, 2876, 543, 2100]",0.3509501824737282
2026-03-09 20:58:50,4,"[543, 1667, 2100, 2876]",0.3174758409341736,"[2100, 543, 1667, 2876]",0.3627975295318329
2026-03-09 21:01:43,4,"[543, 1667, 2100, 2876]",0.3174758409341736,"[543, 2100, 1667, 2876]",0.3434059176877235
2026-03-09 21:04:34,4,"[543, 1667, 2100, 2876]",0.3174758409341736,"[2876, 2100, 543, 1667]",0.3999150161539542
2026-03-09 21:07:29,4,"[543, 1667, 2100, 2876]",0.3174758409341736,"[2100, 2876, 543, 1667]",0.4186157364526273
2026-03-09 21:10:24,4,"[543, 1667, 2100, 2876]",0.3174758409341736,"[2876, 1667, 2100, 543]",0.42776368941862036
2026-03-09 21:13:21,4,"[543, 1667, 2100, 2876]",0.3174758409341736,"[543, 2100, 2876, 1667]",0.3574880392264062
2026-03-09 21:16:17,4,"[543, 1667, 2100, 2876]",0.3174758409341736,"[1667, 2876, 2100, 543]",0.39009380673801547
2026-03-09 21:19:16,4,"[543, 1667, 2100, 2876]",0.3174758409341736,"[1667, 543, 2100, 2876]",0.3106211671284085
2026-03-09 21:22:11,4,"[543, 1667, 2100, 2876]",0.3174758409341736,"[543, 2876, 1667, 2100]",0.36419241136222263
2026-03-09 21:25:04,4,"[543, 1667, 2100, 2876]",0.3174758409341736,"[2876, 543, 1667, 2100]",0.43717140972042934
2026-03-09 21:27:59,4,"[543, 1667, 2100, 2876]",0.3174758409341736,"[543, 2876, 2100, 1667]",0.3912037542289643
2026-03-09 21:30:54,4,"[543, 1667, 2100, 2876]",0.3174758409341736,"[2876, 2100, 1667, 543]",0.40833587765448365
