Timestamp,Repo,FewShot_Count,Individual,Accuracy,Token_Count
2026-03-06 20:46:43.657021,microsoft_vscode,2,"[766, 1028]",0.3062200956937799,241
2026-03-06 20:46:45.075532,microsoft_vscode,3,"[459, 1884, 1977]",0.33253588516746413,638
2026-03-06 20:46:46.080031,microsoft_vscode,6,"[119, 357, 748, 1299, 1721, 3158]",0.35406698564593303,2359
2026-03-06 20:46:46.654790,microsoft_vscode,1,[2672],0.2703349282296651,435
2026-03-06 20:46:46.801239,microsoft_vscode,4,"[367, 750, 904, 2378]",0.2511961722488038,993
2026-03-06 20:46:48.818068,microsoft_vscode,10,"[727, 1088, 1169, 1650, 1672, 2065, 2258, 2369, 3146, 3161]",0.37320574162679426,2542
2026-03-06 20:46:48.821791,microsoft_vscode,20,"[120, 285, 337, 520, 522, 699, 779, 1077, 1203, 1370, 1543, 1768, 1818, 1840, 1864, 1995, 2234, 2564, 2629, 3251]",0.5023923444976076,5657
2026-03-06 20:46:48.875239,microsoft_vscode,12,"[234, 399, 584, 692, 977, 1363, 1512, 1684, 1936, 2022, 2810, 3225]",0.44258373205741625,2806
2026-03-06 20:46:53.119318,microsoft_vscode,16,"[209, 519, 870, 1033, 1333, 1555, 2457, 2497, 2648, 2651, 2740, 2782, 2802, 2942, 3042, 3332]",0.4688995215311005,5620
2026-03-06 20:46:54.254172,microsoft_vscode,8,"[411, 751, 797, 1302, 1675, 1765, 2020, 2576]",0.3684210526315789,941
2026-03-06 20:46:59.487880,microsoft_vscode,24,"[216, 246, 413, 419, 527, 748, 751, 756, 880, 917, 936, 1029, 1335, 1465, 1591, 1878, 2025, 2105, 2312, 2448, 2466, 2507, 2596, 2986]",0.47368421052631576,9418
2026-03-06 20:46:59.616971,microsoft_vscode,32,"[92, 346, 367, 742, 791, 949, 980, 1159, 1179, 1485, 1611, 1755, 1817, 1912, 1972, 2077, 2090, 2105, 2167, 2306, 2423, 2589, 2657, 2706, 2742, 2837, 2872, 2941, 2980, 3029, 3115, 3198]",0.37799043062200954,9350
2026-03-06 20:50:14.665642,microsoft_vscode,2,"[666, 1877]",0.24162679425837322,351
2026-03-06 20:50:18.486627,microsoft_vscode,4,"[357, 2136, 2160, 2493]",0.3444976076555024,448
2026-03-06 20:50:20.442358,microsoft_vscode,1,[564],0.2703349282296651,147
2026-03-06 20:50:20.831023,microsoft_vscode,3,"[663, 1498, 3160]",0.2894736842105263,443
2026-03-06 20:50:22.995992,microsoft_vscode,6,"[31, 326, 402, 1079, 1293, 2467]",0.41148325358851673,1182
2026-03-06 20:50:24.745928,microsoft_vscode,12,"[70, 370, 604, 1661, 1884, 1905, 2190, 2367, 2439, 2771, 2859, 3134]",0.4138755980861244,3231
2026-03-06 20:50:26.993754,microsoft_vscode,10,"[2, 867, 1679, 1698, 1910, 2276, 2792, 3123, 3199, 3240]",0.37559808612440193,2662
2026-03-06 20:50:28.968229,microsoft_vscode,20,"[18, 370, 395, 629, 745, 826, 843, 985, 1010, 1018, 1221, 1313, 1407, 1550, 1839, 2668, 2699, 3071, 3096, 3337]",0.49282296650717705,5928
2026-03-06 20:50:30.582418,microsoft_vscode,8,"[47, 415, 570, 1208, 2250, 2982, 3054, 3212]",0.3133971291866029,3841
2026-03-06 20:50:34.862274,microsoft_vscode,16,"[212, 505, 542, 909, 1375, 1563, 1609, 1646, 1695, 1848, 2248, 2317, 2564, 2804, 3133, 3160]",0.44258373205741625,9376
2026-03-06 20:50:46.676425,microsoft_vscode,24,"[291, 792, 915, 1102, 1133, 1134, 1155, 1403, 1574, 1588, 2045, 2138, 2213, 2294, 2358, 2485, 2553, 2602, 2721, 2843, 2966, 2981, 2992, 3245]",0.35645933014354064,9002
2026-03-06 20:50:48.507437,microsoft_vscode,32,"[239, 446, 612, 698, 821, 834, 1018, 1028, 1094, 1213, 1424, 1441, 1470, 1472, 1532, 1607, 1623, 1769, 1924, 1932, 1942, 2124, 2214, 2497, 2678, 2712, 2715, 2766, 3092, 3196, 3263, 3342]",0.37320574162679426,7413
2026-03-06 20:53:51.542662,microsoft_vscode,2,"[529, 530]",0.3133971291866029,361
2026-03-06 20:53:53.143697,microsoft_vscode,1,[139],0.33253588516746413,180
2026-03-06 20:53:55.567515,microsoft_vscode,3,"[405, 2872, 3239]",0.35406698564593303,1274
2026-03-06 20:54:00.464794,microsoft_vscode,4,"[1410, 2292, 2493, 3002]",0.33253588516746413,822
2026-03-06 20:54:00.997297,microsoft_vscode,6,"[180, 189, 402, 1338, 1690, 2916]",0.37320574162679426,2946
2026-03-06 20:54:02.597514,microsoft_vscode,10,"[1021, 1045, 1211, 1794, 2137, 2494, 2497, 2617, 2756, 2898]",0.3923444976076555,5430
2026-03-06 20:54:02.975025,microsoft_vscode,12,"[750, 998, 1426, 1513, 2153, 2253, 2456, 2617, 2662, 2736, 2957, 3057]",0.3349282296650718,4147
2026-03-06 20:54:09.751063,microsoft_vscode,8,"[386, 669, 1302, 1373, 1591, 1945, 2056, 2100]",0.37799043062200954,1872
2026-03-06 20:54:11.321982,microsoft_vscode,20,"[79, 88, 105, 292, 353, 650, 660, 725, 984, 1154, 1489, 1805, 1809, 2010, 2373, 2529, 2692, 2780, 2818, 2984]",0.3827751196172249,6712
2026-03-06 20:54:15.316790,microsoft_vscode,16,"[76, 137, 157, 660, 695, 897, 1001, 1329, 1345, 1608, 1739, 2470, 2649, 2744, 3020, 3141]",0.47129186602870815,4533
2026-03-06 20:54:30.567715,microsoft_vscode,24,"[147, 296, 454, 522, 532, 637, 789, 841, 1256, 1325, 1415, 1492, 1526, 1947, 2087, 2222, 2304, 2336, 2465, 2480, 2533, 2543, 2838, 2913]",0.35167464114832536,9463
2026-03-06 20:54:42.629515,microsoft_vscode,32,"[30, 285, 293, 558, 571, 572, 623, 687, 788, 895, 1132, 1274, 1312, 1342, 1345, 1358, 1362, 1604, 1850, 2200, 2282, 2323, 2663, 2687, 2689, 2701, 2953, 3017, 3137, 3285, 3291, 3339]",0.430622009569378,9112
2026-03-06 20:57:24.845251,microsoft_vscode,1,[1539],0.3277511961722488,139
2026-03-06 20:57:25.818140,microsoft_vscode,4,"[50, 655, 2304, 3050]",0.3014354066985646,2418
2026-03-06 20:57:26.951321,microsoft_vscode,3,"[968, 2574, 3026]",0.2727272727272727,1865
2026-03-06 20:57:29.078587,microsoft_vscode,2,"[311, 1524]",0.18181818181818182,756
2026-03-06 20:57:31.715416,microsoft_vscode,10,"[455, 535, 842, 1321, 1585, 1737, 1871, 1969, 2922, 3106]",0.3923444976076555,2860
2026-03-06 20:57:37.967985,microsoft_vscode,12,"[497, 1330, 1371, 1380, 1559, 1653, 2540, 2616, 2839, 2933, 3243, 3285]",0.4688995215311005,4956
2026-03-06 20:57:38.696388,microsoft_vscode,6,"[758, 1028, 1214, 2357, 3064, 3154]",0.39952153110047844,1053
2026-03-06 20:57:47.859864,microsoft_vscode,8,"[44, 453, 1673, 1689, 2157, 2628, 3001, 3162]",0.34210526315789475,2150
2026-03-06 20:57:54.227134,microsoft_vscode,20,"[172, 245, 339, 416, 558, 618, 1080, 1684, 2127, 2228, 2255, 2398, 2440, 2483, 2502, 2581, 2711, 2772, 2950, 2955]",0.41148325358851673,4944
2026-03-06 20:57:56.711258,microsoft_vscode,16,"[487, 575, 673, 878, 1094, 1371, 1529, 1563, 1630, 2274, 2304, 2339, 2663, 2731, 2821, 2886]",0.3157894736842105,9389
2026-03-06 20:58:21.467143,microsoft_vscode,24,"[30, 104, 164, 218, 244, 447, 520, 788, 795, 833, 854, 1092, 1220, 1439, 1525, 1603, 1633, 1872, 1894, 2530, 2642, 2664, 3085, 3126]",0.39952153110047844,6373
2026-03-06 20:58:29.002876,microsoft_vscode,32,"[39, 78, 498, 546, 574, 612, 803, 804, 932, 991, 996, 1050, 1098, 1266, 1323, 1391, 1466, 1645, 1690, 1807, 1835, 1879, 2147, 2249, 2250, 2272, 2406, 2701, 2921, 3080, 3189, 3233]",0.3827751196172249,8850
2026-03-06 21:01:00.573349,microsoft_vscode,1,[748],0.24162679425837322,205
2026-03-06 21:01:02.961794,microsoft_vscode,3,"[924, 1184, 2190]",0.34210526315789475,420
2026-03-06 21:01:04.337702,microsoft_vscode,4,"[636, 1329, 1898, 2981]",0.4043062200956938,1481
2026-03-06 21:01:04.337912,microsoft_vscode,2,"[1736, 1806]",0.3277511961722488,293
2026-03-06 21:01:09.411543,microsoft_vscode,10,"[159, 261, 412, 730, 748, 977, 1376, 2331, 2567, 2686]",0.5454545454545454,5763
2026-03-06 21:01:14.065874,microsoft_vscode,12,"[167, 1034, 1203, 1452, 1717, 1817, 1910, 1974, 2583, 2759, 2793, 2795]",0.47129186602870815,4820
2026-03-06 21:01:14.544997,microsoft_vscode,6,"[1367, 2665, 2667, 2718, 2740, 2908]",0.3253588516746411,1801
2026-03-06 21:01:21.744877,microsoft_vscode,8,"[534, 613, 659, 679, 885, 1486, 2780, 3156]",0.430622009569378,3853
2026-03-06 21:01:34.284632,microsoft_vscode,16,"[17, 391, 721, 783, 949, 1499, 1544, 1579, 1826, 1896, 1928, 2304, 2336, 2867, 2876, 2878]",0.37320574162679426,8259
2026-03-06 21:01:35.817115,microsoft_vscode,20,"[244, 360, 567, 643, 654, 732, 1212, 1217, 1364, 1644, 1817, 2133, 2418, 2560, 2855, 2899, 3012, 3125, 3143, 3332]",0.39952153110047844,4767
2026-03-06 21:02:11.160963,microsoft_vscode,24,"[93, 268, 349, 562, 633, 698, 820, 1154, 1340, 1356, 1424, 1496, 1628, 2111, 2366, 2414, 2534, 2574, 2576, 2827, 2921, 2923, 3045, 3273]",0.3923444976076555,6146
2026-03-06 21:02:23.361200,microsoft_vscode,32,"[88, 180, 190, 249, 274, 314, 376, 451, 574, 578, 801, 946, 1172, 1226, 1318, 1350, 1365, 1368, 1376, 1615, 1778, 1838, 2093, 2257, 2475, 2518, 2847, 2950, 3066, 3129, 3279, 3288]",0.5023923444976076,10489
2026-03-06 21:04:27.979658,microsoft_vscode,1,[2948],0.3062200956937799,141
2026-03-06 21:04:34.188548,microsoft_vscode,3,"[1510, 1845, 1910]",0.36363636363636365,1302
2026-03-06 21:04:39.107135,microsoft_vscode,2,"[245, 1486]",0.3708133971291866,1386
2026-03-06 21:04:39.254180,microsoft_vscode,4,"[896, 1103, 2153, 2560]",0.32057416267942584,913
2026-03-06 21:04:45.380319,microsoft_vscode,10,"[33, 843, 959, 1372, 2148, 2241, 2661, 2739, 2793, 3292]",0.37559808612440193,3307
2026-03-06 21:04:48.262168,microsoft_vscode,6,"[539, 553, 948, 2058, 2421, 3182]",0.39473684210526316,3192
2026-03-06 21:04:51.183669,microsoft_vscode,12,"[57, 490, 1028, 1084, 1351, 1354, 1365, 2279, 2862, 2930, 3168, 3316]",0.37320574162679426,2414
2026-03-06 21:05:00.864625,microsoft_vscode,8,"[996, 1157, 1196, 1400, 1484, 1914, 2855, 2885]",0.38516746411483255,900
2026-03-06 21:05:11.613758,microsoft_vscode,16,"[849, 1128, 1859, 1924, 2109, 2370, 2519, 2567, 2742, 2756, 2801, 2908, 3062, 3097, 3120, 3147]",0.4688995215311005,4719
2026-03-06 21:05:12.644196,microsoft_vscode,20,"[375, 488, 519, 533, 544, 869, 1106, 1434, 1663, 1722, 1748, 1819, 2029, 2079, 2091, 2233, 2343, 2400, 2426, 2679]",0.43779904306220097,6145
2026-03-06 21:06:00.045077,microsoft_vscode,24,"[5, 114, 246, 380, 490, 937, 1164, 1427, 1796, 2005, 2083, 2086, 2170, 2188, 2591, 2648, 2718, 2875, 2876, 2971, 2984, 3102, 3140, 3159]",0.49760765550239233,9365
2026-03-06 21:06:11.970188,microsoft_vscode,32,"[265, 339, 719, 853, 990, 1046, 1080, 1153, 1511, 1540, 1646, 1675, 1677, 1777, 1921, 2103, 2134, 2293, 2325, 2346, 2401, 2503, 2545, 2671, 2802, 2805, 2975, 3055, 3083, 3129, 3168, 3173]",0.423444976076555,10628
2026-03-06 21:07:58.335005,microsoft_vscode,1,[2810],0.19617224880382775,293
2026-03-06 21:08:00.167825,microsoft_vscode,2,"[1881, 2988]",0.284688995215311,192
2026-03-06 21:08:03.397749,microsoft_vscode,3,"[2672, 3174, 3264]",0.31100478468899523,847
2026-03-06 21:08:16.102761,microsoft_vscode,4,"[5, 1013, 1291, 2830]",0.28708133971291866,3100
