repo,number,Title,Body,Ground_Truth,Prediction
facebook_react,6041,Async routes cause server-side checksum invalid error,"**NOTE:** This may be an issue for React Router instead. If so, please inform me, and I will notify them.
I'm using Webpack, react-router, and react.
I got this error while using react-router with async routes and server-side rendering:
``` shell
bundle.js:1 Warning: React attempted to reuse markup in a container but the checksum was invalid. This generally means that you are using server rendering and the markup generated on the server was not what the client was expecting. React injected new markup to compensate which works but you have lost many of the benefits of server rendering. Instead, figure out why the markup being generated is different on the client or server:
 (client) <noscript data-reacti
 (server) <div data-reactid="".1
```
My routes.cjsx has this:
``` coffee
# Routes
path: 'game'
getComponent: (location, cb) =>
    require.ensure [], (require) =>
        cb null, require './views/game'
```
If I change it to this, I no longer get that error:
``` coffee
# Routes
path: 'game'
getComponent: (location, cb) =>
    cb null, require './views/game'
```
Is this a bug or something else?",question,bug
facebook_react,6047,Following NPM getting started guide incomplete and results in errors,"I decided to try out React today, and began following the Getting Started Guide for using[ React from npm](https://facebook.github.io/react/docs/getting-started.html#using-react-from-npm).  Unfortunately I was unable to get the example up and running.  The first problem I encountered was the missing HTML file which I scavenged from lower in the page and adapted.  However once I loaded up the `bundle.js` file in the HTML page I received the following error in the browser console:
`Uncaught Invariant Violation: _registerComponent(...): Target container is not a DOM element.`
Was there a step I missed somewhere?",question,bug
facebook_react,14708,hooks: useContext with useState not updating,"seems it's a **bug**. 😕
Nested context provider and `useContext` hooks seems to be conflicting, updates get discarded.
When connecting to a context, it should update whenever it's `value` changes.
- **react**: `18.8.0-alpha.1` (also reproduced on `16.7.0-alpha.0`)
- **browser**: `chrome 71`
- **os**: macOS Sierra
### more details
While working on a cleanup of a localStorage ""connection"",
I tried to mix 2 articles ([`[1]`](https://reactjs.org/docs/hooks-faq.html#how-to-avoid-passing-callbacks-down) & [`[2]`](https://reactjs.org/docs/context.html#updating-context-from-a-nested-component)) from the official react documentation, I've implemented it with hooks, but the value seems not to be passing through.
I've put up a streamlined demo on [codesandbox `[3]`](https://codesandbox.io/s/0yzjr8vnrv).
The actual implementation is only a couple of lines more (parsing it from and stringifying it to JSON).
Workarounds that I found:
- If I create a new function on each render around the `setValue` function, it actually works.
- but this goes against the advice on [`[1]`](https://reactjs.org/docs/hooks-faq.html#how-to-avoid-passing-callbacks-down) about avoiding creating  new values.
- Migrate it to a class and use `componentDidUpdate` instead of `useEffect`.
- I'm actually using this right now, as it works. Including saving a reference to the function in the state.
Is there anything that shouldn't work on the code below? the effect gets triggered with the changes,
but the value doesn't get updated on the components that consume via hook. see repro code [`[3]`](https://codesandbox.io/s/0yzjr8vnrv)
```javascript
const createLocalStorage = key => {
    const initialValue = localStorage.getItem(key)
    const ValueContext = createContext(initialValue)
    const SetterContext = createContext(() => {})

    const useStorage = () => [ValueContext, SetterContext].map(useContext)

    const Provider = ({children}) => {
        const [value, setValue] = useState(initialValue)

        useEffect(
            () => {
                console.log('effect', value)
                localStorage.setItem(key, value)
            },
            [value],
        )

        return (
            <ValueContext.Provider value={value}>
                <SetterContext.Provider value={setValue}>
                    {children}
                </SetterContext.Provider>
            </ValueContext.Provider>
        )
    }

    return [Provider, useStorage]
}
```
`[1]`: https://reactjs.org/docs/hooks-faq.html#how-to-avoid-passing-callbacks-down
`[2]`: https://reactjs.org/docs/context.html#updating-context-from-a-nested-component
`[3]`: https://codesandbox.io/s/0yzjr8vnrv
![hlcecpq](https://user-images.githubusercontent.com/8649362/51789871-bea63f80-2174-11e9-9288-151510494a7e.gif)",question,bug
facebook_react,12915,Suspense: timeout expiration and siblings rendering issues,"Code for reproducing is [here](https://github.com/alexeyraspopov/react-suspense-sandbox/tree/cb3b60be69523de8f720a474c965face2b521b9b). I've also deployed an example to Zeit Now: https://suspense-fpwoufdzfv.now.sh/.
This is a basic example of using React Suspense and Simple Cache Provider. Postponing text rendering and showing loading spinners when it's necessary.
I can see my use of `<Timeout />` doesn't really care about `ms` I'm passing — it always become expired right after the render. You can open a page and the loading bar appears immediately despite `1000ms` delay that it has.
There is content that is placed next to an async component (the one that's going to be suspended).
https://github.com/alexeyraspopov/react-suspense-sandbox/blob/cb3b60be69523de8f720a474c965face2b521b9b/src/index.js#L51-L56
Looking at React Suspense tests, it is assumed that sibling elements can be rendered in any way.
`<Timeout />` component only shows placehold when expired, sibling content is shown even if an async component was suspended.
I built sources for `react`, `react-dom`, and `simple-cache-provider` from the current master, updating `enableSuspense` flag. I also used `<unstable_AsyncMode />` but it didn't seem to make any difference.
I overall was really satisfied with this feature. I hope I did the code correctly so it shows the real bug.",question,bug
facebook_react,315,"Inputs are uneditable if the ""value"" attribute is present","See here: http://jsfiddle.net/XdNHU/1/
If an `<input>` element is rendered with its value attribute already present/set, the input seems to be uneditable. I thought it might have been something in handleChange, but I'm not sure.
Hopefully I'm not just misusing JSX...",question,bug
facebook_react,6075,ReactJS setState bug/my fault,"Hello, guys!
I made an exemple here to see exactly what I'm talking about:
http://codepen.io/mga/pen/bEyZox
I used context for the ""storeInput"" function because in my app it passes through more than one component.
Sorry for the short message but I don't have the best writing english skills and it's more easier for me to show you. If you don't understand something please let me know. Thanks!",question,bug
facebook_react,5855,Issue with ReactCSSTransitionGroup,"I'm getting this error
Uncaught Invariant Violation: addComponentAsRefTo(...): Only a ReactOwner can have refs. You might be adding a ref to a component that was not created inside a component's `render` method, or you have multiple copies of React loaded (details: https://fb.me/react-refs-must-have-owner).
after installing ReactCSSTransitionGroup and It seems that I have only one copy of react running.
I'm using gulp and browserify to package the app.
+-- babel-preset-react@6.3.13
| +-- babel-plugin-transform-react-display-name@6.3.13
| +-- babel-plugin-transform-react-jsx@6.3.13
| | `-- babel-helper-builder-react-jsx@6.3.13
|`-- babel-plugin-transform-react-jsx-source@6.3.13
+-- eslint-plugin-react@3.15.0
+-- formsy-react@0.17.0
+-- react@0.14.6
+-- react-addons-css-transition-group@0.14.6
+-- react-dom@0.14.6
+-- react-router@1.0.3",question,bug
facebook_react,11686,Sluggish scrolling when rendering table with large dataset in React,"So I'm creating an application with real-time streaming data in a table using react (v16.1.1). The number of rows shown at a time can be rather large (400+ rows) and when those situations occur, the scrolling behavior on browsers (desktop & mobile) really takes a hit and staggers when attempting to browse the content. Has anybody experienced this kind of scrolling behavior when rendering large data sets in a table?
I'm expecting React to be able to efficiently draw/redraw these elements with ease but that doesn't appear to be the case. I tried using JSFiddle to recreate the scenario but did not have much success.",question,bug
bitcoin_bitcoin,31536,(bitcoin core warning: unknown new rules activated versionbit 2),"Hello,
Iam having this issue on my bitcoin core wallet, and cant see my balance anymore. iam in panic. (bitcoin core warning: unknown new rules activated versionbit 2) does anymore know what i can do or i lost all my balance?",question,bug
bitcoin_bitcoin,17441,Unable to start bitcoind after power failure,"Hi,
I'm unable to restart bitcoind after a power failure:
Here is the debug.log error I am getting:
> bitcoin@raspberrypi:~ $ tail -f /home/bitcoin/.bitcoin/debug.log
> 2019-11-11T16:49:54Z Opening LevelDB in /home/bitcoin/.bitcoin/chainstate
> 2019-11-11T16:49:54Z Fatal LevelDB error: Corruption: CURRENT file does not end with newline
> 2019-11-11T16:49:54Z You can use -debug=leveldb to get more complete diagnostic messages
> 2019-11-11T16:49:54Z Fatal LevelDB error: Corruption: CURRENT file does not end with newline
> 2019-11-11T16:49:54Z : Error opening block database.
> Please restart with -reindex or -reindex-chainstate to recover.
> 2019-11-11T16:49:54Z Aborted block database rebuild. Exiting.
> 2019-11-11T16:49:54Z Shutdown: In progress...
> 2019-11-11T16:49:54Z scheduler thread interrupt
> 2019-11-11T16:49:54Z Shutdown: done
I've tried running:
```
bitcoind -reindex 
bitcoin -reindex-chainstate
```
Not sure what I am doing wrong?",question,bug
bitcoin_bitcoin,15499,"error: #error ""Bitcoin cannot be compiled without assertions.""","Hi, all:
**My ENV:**
_Ubuntu 18.04.2
Qt 5.12.1
bitcoin: git master of the day Feb 27, 2019._
My configuration is:
```console
$ export PKG_CONFIG_PATH=/opt/Qt/Current/gcc_64/lib/pkgconfig
$ ./configure --with-incompatible-bdb --enable-gprof=yes -with-gui=yes  --with-boost-libdir=/usr/lib --with-boost-system=boost_system --with-boost-filesystem=boost_filesystem --with-boost-thread=boost_thread --with-boost-chrono=boost_chrono --with-boost-unit-test-framework=boost_unit_test_framework
```
If `--with-gui=no`,  I can successfully build **bitcoin**. However, by enabling gui/qt, I obtained the following **ERROR** messages:
```
In file included from ./util/system.h:19,
                 from ./dbwrapper.h:12,
                 from ./txdb.h:10,
                 from ./test/test_bitcoin.h:14,
                 from ./wallet/test/wallet_test_fixture.h:8,
                 from wallet/test/wallet_test_fixture.cpp:5:
./compat/assumptions.h:17:3: error: #error ""Bitcoin cannot be compiled without assertions.""
 # error ""Bitcoin cannot be compiled without assertions.""
   ^~~~~
In file included from ./util/system.h:19,
                 from ./dbwrapper.h:12,
                 from ./txdb.h:10,
                 from ./test/test_bitcoin.h:14,
                 from test/test_bitcoin.cpp:5:
./compat/assumptions.h:17:3: error: #error ""Bitcoin cannot be compiled without assertions.""
 # error ""Bitcoin cannot be compiled without assertions.""
   ^~~~~
  CXX      crypto/libbitcoinconsensus_la-siphash.lo
  CXX      crypto/libbitcoinconsensus_la-sha256_sse4.lo
  CXX      libbitcoinconsensus_la-arith_uint256.lo
  CXX      consensus/libbitcoinconsensus_la-merkle.lo
  CXX      libbitcoinconsensus_la-hash.lo
  CXX      primitives/libbitcoinconsensus_la-block.lo
  CXX      primitives/libbitcoinconsensus_la-transaction.lo
  CXX      libbitcoinconsensus_la-pubkey.lo
In file included from ./wallet/walletdb.h:12,
                 from ./wallet/wallet.h:23,
                 from ./wallet/test/wallet_test_fixture.h:12,
                 from wallet/test/wallet_test_fixture.cpp:5:
./wallet/db.h: In destructor ‘BerkeleyDatabase::~BerkeleyDatabase()’:
./wallet/db.h:129:20: warning: unused variable ‘erased’ [-Wunused-variable]
             size_t erased = env->m_databases.erase(strFile);
                    ^~~~~~
  CXX      script/libbitcoinconsensus_la-bitcoinconsensus.lo
  CXX      script/libbitcoinconsensus_la-interpreter.lo
make[2]: *** [Makefile:10957: test/qt_test_test_bitcoin_qt-test_bitcoin.o] Error 1
make[2]: *** Waiting for unfinished jobs....
make[2]: *** [Makefile:10999: wallet/test/qt_test_test_bitcoin_qt-wallet_test_fixture.o] Error 1
make[2]: Leaving directory '....../bitcoingui/src'
make[1]: *** [Makefile:12939: all-recursive] Error 1
make[1]: Leaving directory '....../bitcoingui/src'
make: *** [Makefile:774: all-recursive] Error 1
```
Any suggestions?",question,bug
