Timestamp,FewShot_Count,Order_Strategy,Original_Individual,Original_Accuracy,New_Individual,New_Accuracy
2026-03-10 17:41:31.057923,10,group_bug_feature_question,"[62, 181, 287, 566, 581, 633, 644, 648, 716, 1108]",0.6733333333333333,"[62, 581, 648, 716, 287, 566, 181, 633, 644, 1108]",0.68
2026-03-10 17:41:31.809934,8,group_bug_feature_question,"[69, 266, 343, 384, 452, 808, 940, 1143]",0.7133333333333334,"[384, 452, 1143, 69, 808, 266, 343, 940]",0.64
2026-03-10 17:41:32.787722,6,group_bug_feature_question,"[159, 469, 626, 822, 994, 1182]",0.68,"[469, 822, 994, 1182, 159, 626]",0.68
2026-03-10 17:41:33.137795,20,group_bug_feature_question,"[54, 63, 118, 129, 178, 228, 258, 313, 411, 450, 576, 687, 799, 818, 819, 866, 995, 1043, 1066, 1145]",0.6666666666666666,"[54, 118, 178, 799, 818, 866, 1066, 1145, 63, 313, 687, 819, 995, 129, 228, 258, 411, 450, 576, 1043]",0.66
2026-03-10 17:41:33.981365,12,group_bug_feature_question,"[19, 249, 422, 513, 522, 640, 820, 895, 982, 1080, 1100, 1147]",0.6866666666666666,"[19, 422, 522, 820, 1080, 249, 982, 1100, 513, 640, 895, 1147]",0.6866666666666666
2026-03-10 17:41:34.465032,16,group_bug_feature_question,"[292, 414, 420, 595, 763, 773, 785, 789, 817, 849, 985, 997, 1003, 1012, 1175, 1191]",0.6466666666666666,"[292, 763, 773, 789, 985, 997, 849, 1003, 1012, 1191, 414, 420, 595, 785, 817, 1175]",0.6666666666666666
2026-03-10 17:41:36.117494,24,group_bug_feature_question,"[133, 182, 186, 306, 310, 385, 435, 491, 589, 687, 729, 746, 756, 833, 841, 843, 885, 905, 926, 943, 965, 1032, 1147, 1164]",0.7133333333333334,"[182, 385, 435, 491, 746, 833, 841, 885, 1164, 186, 306, 310, 687, 756, 843, 133, 589, 729, 905, 926, 943, 965, 1032, 1147]",0.6933333333333334
2026-03-10 17:41:38.663933,32,group_bug_feature_question,"[24, 45, 150, 215, 377, 400, 413, 423, 492, 579, 632, 677, 754, 757, 781, 786, 811, 827, 828, 883, 928, 939, 950, 1015, 1049, 1072, 1078, 1099, 1100, 1163, 1189, 1192]",0.7,"[215, 377, 400, 413, 492, 632, 754, 781, 786, 939, 1049, 1072, 1189, 24, 677, 757, 827, 1078, 1100, 1163, 45, 150, 423, 579, 811, 828, 883, 928, 950, 1015, 1099, 1192]",0.64
2026-03-10 17:42:54.473271,8,group_bug_question_feature,"[69, 266, 343, 384, 452, 808, 940, 1143]",0.7133333333333334,"[384, 452, 1143, 266, 343, 940, 69, 808]",0.66
2026-03-10 17:42:56.274336,12,group_bug_question_feature,"[19, 249, 422, 513, 522, 640, 820, 895, 982, 1080, 1100, 1147]",0.6866666666666666,"[19, 422, 522, 820, 1080, 513, 640, 895, 1147, 249, 982, 1100]",0.7133333333333334
